,smiles,s1_energy,t1_energy,t2_energy,s1_cal,t1_cal,s1_t1_gap,t2_t1_gap,scscore,s1_t1_gap_score,t2_t1_gap_score,total_score
5031,O=C1c2ccccc2C(=O)N1c1ccc(-c2ccncc2)cc1,3.398,3.0973,3.4439,3.074319618178575,2.7249061944779296,-2.375492770777284,-2.7507,2.7881128724904167,2.0411908e-05,8.231221e-05,4.0989624e-05
5032,Clc1ccc(-c2ccc3c(c2)[nH]c2cccnc23)cc1,4.0604,3.1592,3.3985,3.5532422635545746,2.7745138108329286,-1.9957853581112823,-2.9199,3.810798688203245,0.00018158572,4.3001273e-05,8.836525e-05
5033,O=C(O)C=C1CCc2cccc(Cl)c21,4.1328,2.9365,3.8181,3.605588277330575,2.5960385901179293,-1.5864889029052835,-2.0549000000000004,2.447426946260234,0.0019123422,0.0011875465,0.0015069821
5034,Cn1ccc2cc(-c3cc4ccccc4s3)ccc21,4.0424,2.8176,3.4562,3.540228061234575,2.500750293112929,-1.461272524991283,-2.1790000000000003,3.4604766935764646,0.003923962,0.0007379259,0.0017016443
5035,O=c1ccn(-c2ccccc2)c2cc(-c3ccncc3)ccc12,3.6126,3.0507,3.2725,3.229477830282576,2.687560234507929,-2.1456426387332828,-2.8289,3.8013973772511567,7.66451e-05,6.097337e-05,6.836161e-05
5036,c1ccc(-c2cnc3[nH]c(-c4cccs4)nc3c2)cc1,3.906,2.7048,3.5181,3.441609328098576,2.410350630352929,-1.3790919326072832,-1.8915,3.6300812815465022,0.0062826094,0.0022209275,0.003735401
5037,Oc1ccc(-c2nc(-c3ccc(F)cc3)cs2)cc1,4.0206,2.6869,3.4349,3.524466416202575,2.3960052937979293,-1.267544171393283,-1.9389000000000003,2.834274253436728,0.011872541,0.0018522297,0.0046894215
5038,Fc1ccc(-c2ccc(-c3cncs3)cc2)c(F)c1,4.1918,2.8224,3.8047,3.648245940490576,2.5045970872729293,-1.3609482340552828,-1.8401,3.2641631006934864,0.006969427,0.002703901,0.0043410417
5039,c1ccc(-c2cc3ccccc3c(-c3cccs3)n2)nc1,3.6301,2.3379,3.1235,3.242130526982576,2.116311301747929,-0.9904920765132824,-1.5522999999999998,3.193054178226056,0.05587965,0.008115114,0.021294829
5040,O=Cc1ccc2oc3ccccc3c(=O)c2c1,3.6806,3.3607,3.4656,3.2786425946025752,2.935999024007929,-2.5933554534132823,-3.2558,2.7322658556767268,5.82416e-06,1.18484495e-05,8.307061e-06
5041,c1ccc(-n2cccc2-c2ccc3ccccc3n2)cc1,3.6817,2.7984,3.3598,3.279437906966576,2.485363116472929,-1.6912883259792828,-2.237,3.0996317297822227,0.001046998,0.0005907586,0.00078646233
5042,Cc1ccc(-c2nc3cc(O)ccc3cc2-c2ccccc2)cc1,3.8226,3.0154,3.2286,3.381310190682575,2.659270269122929,-1.937230347563283,-2.8022,3.766158459914681,0.00025435333,6.755186e-05,0.00013108028
5043,Clc1cc(-c2ccncc2)c(-c2ccsc2)s1,3.9229,2.7178,3.7021,3.4538282180545754,2.420769031202929,-1.3877098443512832,-1.7334999999999998,3.09056918001457,0.005980372,0.0040650354,0.00493056
5044,Fc1ccc(-c2sc3c(c2-c2cccs2)CCC3)c(F)c1,3.8363,2.6679,3.3808,3.3912154446705767,2.3807784002479293,-1.3703413558252824,-1.955,3.7585276164398818,0.0066050277,0.0017414448,0.003391503
5045,N#Cc1ccc(-n2ccnc2)n1-c1cccc(F)c1,4.3832,3.3227,3.9196,3.786630291826576,2.9055452369079293,-2.024460181989283,-2.7258000000000004,3.3294294570136787,0.00015395958,9.056506e-05,0.000118081996
5046,c1ccc2c(c1)ccc1oc(-c3ccsc3)cc12,3.9291,2.6221,3.3232,3.4583108877425754,2.3440735726379294,-1.2298362575332829,-1.9210000000000005,3.3076003530275178,0.014708124,0.001983677,0.005401497
5047,O=c1oc2ccccc2c2cc3sccc3cc12,4.0336,2.9995,3.4352,3.533865562322576,2.6465277634679287,-1.7591899646132825,-2.5638,3.2793476587439816,0.0007084999,0.00016862687,0.0003456474
5048,Cc1ccc2ccc(-c3ccccc3)nc2c1,4.1673,3.0584,3.4986,3.630532165110575,2.693731133472929,-1.7569301018352823,-2.6181999999999994,3.1432222786174044,0.00071777013,0.00013685916,0.00031342212
5049,Oc1ccc2cc3ccc(-n4ccnc4)cc3cc2c1,3.3017,2.0141,3.1422,3.0046936357665754,1.8568129790379289,-0.7089323223092827,-0.8860000000000001,3.387885572550404,0.23004429,0.09544801,0.14817986
5050,Cc1ccc2c(c1)Cc1cc3c(cc1-2)CCC3=O,3.59725,3.008,3.1979,3.218379607748576,2.653339794792929,-2.0882999818372827,-2.8181000000000003,2.9285119052291297,0.00010661736,6.355344e-05,8.231585e-05
5051,Nc1cccc(-c2cc(-c3cccs3)cc(-c3cccs3)n2)c1,3.3054,2.8072,3.0192,3.0073687773545754,2.4924155724329293,-1.9774623675112828,-2.5952,3.5467184097929643,0.00020178103,0.00014948643,0.0001736765
5052,c1coc(-c2ccc3[nH]c4ccccc4c3c2)c1,3.8244,3.0284,3.2338,3.382611610914576,2.669688669972929,-1.9567657290312828,-2.823,3.2226805876812774,0.00022730594,6.2369596e-05,0.000119067125
